~a	 ~ a |
mU'U~gU	 m U ' U ~ g U |
nii.	 n i i . |
mahasaa,	 m a h a s a a , |
namonoko	 n a m o n o k o |
duhiaye	 d u h i a y e |
~so'oba'dopU,	 ~ s o ' o b a ' d o p U , |
pu'iyapU.	 p u ' i y a p U . |
tipu'apU,	 t i p u ' a p U , |
buhiwio	 b u h i w i o |
bUkUodo.	 b U k U o d o . |
tikUdole	 t i k U d o l e |
sinino	 s i n i n o |
a'taedaye,	 a ' t a e d a y e , |
be'dope'epe.	 b e ' d o p e ' e p e . |
duutu	 d u u t u |
yeetiano,	 y e e t i a n o , |
bUhUdui~ka'ye.	 b U h U d u i ~ k a ' y e . |
yemaka~kUto,	 y e m a k a ~ k U t o , |
bokayalitotha	 b o k a y a l i t o t h a |
bUhUduhi~kaye.	 b U h U d u h i ~ k a y e . |
"nii	 " n i i |
""~o'o	 " " ~ o ' o |
duhiya	 d u h i y a |
nii""	 n i i " " |
pe'anaha	 p e ' a n a h a |
~eodapo."	 ~ e o d a p o . " |
"tu'asaa,	 " t u ' a s a a , |
""ihito	 " " i h i t o |
si'niye""	 s i ' n i y e " " |
niinaha."	 n i i n a h a . " |
warowa'a	 w a r o w a ' a |
wihiata	 w i h i a t a |
o'oayenaha	 o ' o a y e n a h a |
GUletha	 G U l e t h a |
ukapinimaata	 u k a p i n i m a a t a |
ihi~kaye.	 i h i ~ k a y e . |
masiedaha	 m a s i e d a h a |
tonaha.	 t o n a h a . |
~Usa~gU'U	 ~ U s a ~ g U ' U |
masiedadU	 m a s i e d a d U |
ihidome'na	 i h i d o m e ' n a |
wa'ame	 w a ' a m e |
yalito	 y a l i t o |
'nee	 ' n e e |
nimeyalinaha	 n i m e y a l i n a h a |
seedo'	 s e e d o ' |
~Usa	 ~ U s a |
tU'otu'udU,	 t U ' o t u ' u d U , |
niitha	 n i i t h a |
niaha	 n i a h a |
wihata	 w i h a t a |
~si'omahayeto	 ~ s i ' o m a h a y e t o |
~si'omaha,	 ~ s i ' o m a h a , |
tikUdo~gU	 t i k U d o ~ g U |
potiadoko	 p o t i a d o k o |
mahaye	 m a h a y e |
potiadoko,	 p o t i a d o k o , |
tU'otu,	 t U ' o t u , |
no'oka'meno	 n o ' o k a ' m e n o |
neeno	 n e e n o |
wa'aamahayetha	 w a ' a a m a h a y e t h a |
"no'o~pulipe	 " n o ' o ~ p u l i p e |
yoa~gU,	 y o a ~ g U , |
mU'nono	 m U ' n o n o |
~si'ya	 ~ s i ' y a |
""mU'no~gU	 " " m U ' n o ~ g U |
ihito""	 i h i t o " " |
o'oaye."	 o ' o a y e . " |
mUnanope'e	 m U n a n o p e ' e |
mUnanope'e,	 m U n a n o p e ' e , |
tole.	 t o l e . |
""cho!	 " " c h o ! |
yaado	 y a a d o |
kUu."""	 k U u . " " " |
"yU'U~gU	 " y U ' U ~ g U |
yadole	 y a d o l e |
uhutha	 u h u t h a |
nika'ye.	 n i k a ' y e . |
""yU'U~gU	 " " y U ' U ~ g U |
mU'nokUu""	 m U ' n o k U u " " |
~kUolido	 ~ k U o l i d o |
wi'o,	 w i ' o , |
~si'a	 ~ s i ' a |
uhuaye	 u h u a y e |
tido~gUtha."	 t i d o ~ g U t h a . " |
"()	 " ( ) |
~ke'nole	 ~ k e ' n o l e |
tipepUlitha""	 t i p e p U l i t h a " " |
niaye."	 n i a y e . " |
du'u~kaye	 d u ' u ~ k a y e |
o'omeedikUdo	 o ' o m e e d i k U d o |
eeeh	 e e e h |
si'niayetha	 s i ' n i a y e t h a |
nUkadeko	 n U k a d e k o |
yeerosaa	 y e e r o s a a |
nUkadeko,	 n U k a d e k o , |
(la)	 ( l a ) |
cinco	 c i n c o |
hora	 h o r a |
ihigUnaha	 i h i g U n a h a |
wa'Uniha	 w a ' U n i h a |
niayenaha	 n i a y e n a h a |
ke'nole	 k e ' n o l e |
si'nidu'ti	 s i ' n i d u ' t i |
yohataU	 y o h a t a U |
ko'eti~kaa.	 k o ' e t i ~ k a a . |
buata	 b u a t a |
atataye	 a t a t a y e |
petamaa	 p e t a m a a |
buatadosaa	 b u a t a d o s a a |
pehe~kaye	 p e h e ~ k a y e |
a'liye	 a ' l i y e |
~keekUna,	 ~ k e e k U n a , |
(~kekUna)	 ( ~ k e k U n a ) |
pe'natha	 p e ' n a t h a |
pUadekopU	 p U a d e k o p U |
butido	 b u t i d o |
niayenaha.	 n i a y e n a h a . |
yohoali	 y o h o a l i |
buti	 b u t i |
na'~yoa	 n a ' ~ y o a |
~yami	 ~ y a m i |
buti,	 b u t i , |
boleawa'a	 b o l e a w a ' a |
ape	 a p e |
~namikapU,	 ~ n a m i k a p U , |
makUno	 m a k U n o |
penanaha	 p e n a n a h a |
akaye	 a k a y e |
ka'me~koanaha:	 k a ' m e ~ k o a n a h a : |
""mU'U	 " " m U ' U |
yemaka~ka'ya,	 y e m a k a ~ k a ' y a , |
wa'aboaye"	 w a ' a b o a y e " |
yeeitha,	 y e e i t h a , |
bUkUdole	 b U k U d o l e |
o'alitha	 o ' a l i t h a |
"~makai	 " ~ m a k a i |
wa'aya,	 w a ' a y a , |
semayUgU""	 s e m a y U g U " " |
ba'donaha	 b a ' d o n a h a |
wa'UpUna,	 w a ' U p U n a , |
miipe	 m i i p e |
seaye,	 s e a y e , |
mU'Uta	 m U ' U t a |
makai	 m a k a i |
o'owa'aye	 o ' o w a ' a y e |
Livinonaha	 L i v i n o n a h a |
topU.	 t o p U . |
esaye	 e s a y e |
esa,	 e s a , |
~namika	 ~ n a m i k a |
tres	 t r e s |
horas	 h o r a s |
ihianato	 i h i a n a t o |
yUkUsoa~ga	 y U k U s o a ~ g a |
~kuya	 ~ k u y a |
pito	 p i t o |
mahaya	 m a h a y a |
pitota	 p i t o t a |
~kuyakaye	 ~ k u y a k a y e |
ihialiba	 i h i a l i b a |
"~o'ota	 " ~ o ' o t a |
mahamaayUdo	 m a h a m a a y U d o |
""du'se	 " " d u ' s e |
wa'amayalito,	 w a ' a m a y a l i t o , |
wisiado	 w i s i a d o |
niboaye	 n i b o a y e |
nii"	 n i i " |
yo'yedi	 y o ' y e d i |
~waso~ga	 ~ w a s o ~ g a |
~sa'yaye.	 ~ s a ' y a y e . |
mahayenaha	 m a h a y e n a h a |
ma'apUnaha,	 m a ' a p U n a h a , |
ma'ali	 m a ' a l i |
ihimipeta.	 i h i m i p e t a . |
puaye	 p u a y e |
tinisue	 t i n i s u e |
ma'ani~ga	 m a ' a n i ~ g a |
ma'a~gapU	 m a ' a ~ g a p U |
mmmm	 m m m m |
maha,	 m a h a , |
pisumaha	 p i s u m a h a |
pisumahaaaaaa,	 p i s u m a h a a a a a a , |
~so'opUnaha	 ~ s o ' o p U n a h a |
~kunopU,	 ~ k u n o p U , |
yoa~kunopU,	 y o a ~ k u n o p U , |
yU'tiaye	 y U ' t i a y e |
UUUUUUUUUUUU	 U U U U U U U U U U U U |
tutuado	 t u t u a d o |
nimaha	 n i m a h a |
pu'ia~gapU	 p u ' i a ~ g a p U |
~so'oba'dopU	 ~ s o ' o b a ' d o p U |
yu'tidukuaye	 y u ' t i d u k u a y e |
uuuuuuuuu	 u u u u u u u u u |
"cho!	 " c h o ! |
""tidota	 " " t i d o t a |
ihiaga""	 i h i a g a " " |
pisuayeta,	 p i s u a y e t a , |
yU'tiayeta"	 y U ' t i a y e t a " |
tidota	 t i d o t a |
ihiboa	 i h i b o a |
dedo~ga	 d e d o ~ g a |
tU'o~ka'adukuaye	 t U ' o ~ k a ' a d u k u a y e |
nihaye.	 n i h a y e . |
sieme'na,	 s i e m e ' n a , |
sieme'na	 s i e m e ' n a |
bu'ataye	 b u ' a t a y e |
tido~gU	 t i d o ~ g U |
bUkUna	 b U k U n a |
mehe,	 m e h e , |
i'yalikUdo	 i ' y a l i k U d o |
"apeido	 " a p e i d o |
pUleta	 p U l e t a |
i'yatulia	 i ' y a t u l i a |
tiayepe""	 t i a y e p e " " |
kuenaha."	 k u e n a h a . " |
dutisua	 d u t i s u a |
~i'yapio	 ~ i ' y a p i o |
dukuayeta.	 d u k u a y e t a . |
mUnanota	 m U n a n o t a |
~i'yapio~gU	 ~ i ' y a p i o ~ g U |
pi'ata	 p i ' a t a |
~oooo	 ~ o o o o |
yU'dUtoa	 y U ' d U t o a |
yU'dUa~gU	 y U ' d U a ~ g U |
pi'adUkasata	 p i ' a d U k a s a t a |
batobu'ataye	 b a t o b u ' a t a y e |
tido~gUta	 t i d o ~ g U t a |
"topU	 " t o p U |
~i'yabu'ata	 ~ i ' y a b u ' a t a |
ihimeededo,	 i h i m e e d e d o , |
siodosaa	 s i o d o s a a |
yeedaboa""	 y e e d a b o a " " |
nii."	 n i i . " |
sinituayenaha	 s i n i t u a y e n a h a |
bUkUdolenaha,	 b U k U d o l e n a h a , |
pakUdolenaha.	 p a k U d o l e n a h a . |
paI	 p a I |
"ne	 " n e |
pai,	 p a i , |
sutota	 s u t o t a |
maka~ku	 m a k a ~ k u |
nimahali	 n i m a h a l i |
mU'U""	 m U ' U " " |
kanUpUta	 k a n U p U t a |
a'taU,	 a ' t a U , |
wa'amaali,	 w a ' a m a a l i , |
wisiU	 w i s i U |
niatidi	 n i a t i d i |
wisiedU'U	 w i s i e d U ' U |
wisiedU'U,	 w i s i e d U ' U , |
GUre	 G U r e |
~wati	 ~ w a t i |
neemaha	 n e e m a h a |
tiano.	 t i a n o . |
~Uleko	 ~ U l e k o |
~ke'no	 ~ k e ' n o |
~si'o	 ~ s i ' o |
putiadoko	 p u t i a d o k o |
~ka'naha	 ~ k a ' n a h a |
~Uleko,	 ~ U l e k o , |
ihiali	 i h i a l i |
gUre,	 g U r e , |
~si'oalita	 ~ s i ' o a l i t a |
yU'Ulepeta	 y U ' U l e p e t a |
miado	 m i a d o |
si'nidU	 s i ' n i d U |
koebuaU	 k o e b u a U |
nihanaha	 n i h a n a h a |
UhUa	 U h U a |
abaU	 a b a U |
ninee	 n i n e e |
yU'Upe	 y U ' U p e |
tU'otuna	 t U ' o t u n a |
~kanUpUta	 ~ k a n U p U t a |
~ataU	 ~ a t a U |
peanaha.	 p e a n a h a . |
poka~ga	 p o k a ~ g a |
neeta'U	 n e e t a ' U |
poka~ga,	 p o k a ~ g a , |
pokasika~ga	 p o k a s i k a ~ g a |
komakalisika~gale	 k o m a k a l i s i k a ~ g a l e |
o'omaye	 o ' o m a y e |
si'nie	 s i ' n i e |
daha.	 d a h a . |
potidU,	 p o t i d U , |
ko'ebuaU	 k o ' e b u a U |
buUnihaya	 b u U n i h a y a |
tidogU.	 t i d o g U . |
wa'aboayaliba	 w a ' a b o a y a l i b a |
a'likUdo	 a ' l i k U d o |
siodota	 s i o d o t a |
wa'aiya	 w a ' a i y a |
bu'ate.	 b u ' a t e . |
bu'asaadopUnaha,	 b u ' a s a a d o p U n a h a , |
bu'asaa	 b u ' a s a a |
yUkUsopUnaha	 y U k U s o p U n a h a |
mUhUasaa	 m U h U a s a a |
~siopio	 ~ s i o p i o |
"esa,	 " e s a , |
iyowa'ado	 i y o w a ' a d o |
a'ta~ka'yamU'Ua	 a ' t a ~ k a ' y a m U ' U a |
""esa""	 " " e s a " " |
bUdUta	 b U d U t a |
a'taye."	 a ' t a y e . " |
tikUdome'na,	 t i k U d o m e ' n a , |
makUnome'na,	 m a k U n o m e ' n a , |
ummmmmm,	 u m m m m m m , |
bUdUsayetita,	 b U d U s a y e t i t a , |
aracapapU	 a r a c a p a p U |
bUrUsapa,	 b U r U s a p a , |
mahaa,	 m a h a a , |
mahasame'no	 m a h a s a m e ' n o |
~to'oka'ayenaha	 ~ t o ' o k a ' a y e n a h a |
siodosa	 s i o d o s a |
a'taka'ye	 a ' t a k a ' y e |
topUnanaha	 t o p U n a n a h a |
~wakueno	 ~ w a k u e n o |
diaminiawa'anaha,	 d i a m i n i a w a ' a n a h a , |
butiawa'ayenaha,	 b u t i a w a ' a y e n a h a , |
a'lideko.	 a ' l i d e k o . |
ba!,	 b a ! , |
a'lideko	 a ' l i d e k o |
butia	 b u t i a |
akodo	 a k o d o |
pahido.	 p a h i d o . |
pahido,	 p a h i d o , |
wi'nonome'na	 w i ' n o n o m e ' n a |
wUpo	 w U p o |
a'taye,	 a ' t a y e , |
masiayenaha	 m a s i a y e n a h a |
wa'adone	 w a ' a d o n e |
niaya	 n i a y a |
a'rikUdo	 a ' r i k U d o |
neesano	 n e e s a n o |
baseayeenaha,	 b a s e a y e e n a h a , |
baseye	 b a s e y e |
masini	 m a s i n i |
tona	 t o n a |
ihiyepe.	 i h i y e p e . |
baseyenaha	 b a s e y e n a h a |
ka'mota'aka'a	 k a ' m o t a ' a k a ' a |
basa,	 b a s a , |
putota	 p u t o t a |
yU'dUawa'aye	 y U ' d U a w a ' a y e |
bUkUdope	 b U k U d o p e |
pUnopU	 p U n o p U |
dokeyohasa,	 d o k e y o h a s a , |
wa'ayedo	 w a ' a y e d o |
pU,	 p U , |
baseipU,	 b a s e i p U , |
tU'otU	 t U ' o t U |
~wakata,	 ~ w a k a t a , |
tU'otUaye	 t U ' o t U a y e |
chU!	 c h U ! |
tU'omasiayenaha	 t U ' o m a s i a y e n a h a |
aaah,	 a a a h , |
apeido	 a p e i d o |
masUno	 m a s U n o |
ihiedo	 i h i e d o |
meheta,	 m e h e t a , |
koaga,	 k o a g a , |
niabutialikUdo	 n i a b u t i a l i k U d o |
seebUdo	 s e e b U d o |
tidonaha	 t i d o n a h a |
namonokorenaha	 n a m o n o k o r e n a h a |
opena	 o p e n a |
po'asa	 p o ' a s a |
duti	 d u t i |
o'o~gU	 o ' o ~ g U |
tikUdonaha	 t i k U d o n a h a |
ya'udukudo	 y a ' u d u k u d o |
dohaka'li	 d o h a k a ' l i |
tikUdole,	 t i k U d o l e , |
boladolenaha	 b o l a d o l e n a h a |
opeme'na	 o p e m e ' n a |
dohaa	 d o h a a |
tu'asaa	 t u ' a s a a |
topUtopU	 t o p U t o p U |
ihime'dedo	 i h i m e ' d e d o |
~sU'mepa	 ~ s U ' m e p a |
tinaninopU	 t i n a n i n o p U |
bu'arota	 b u ' a r o t a |
to~gUta	 t o ~ g U t a |
bu'asa	 b u ' a s a |
suayU'dUali	 s u a y U ' d U a l i |
no'ok'ameno,	 n o ' o k ' a m e n o , |
bisisuali	 b i s i s u a l i |
tido~gUnaha,	 t i d o ~ g U n a h a , |
ka'me~kaye	 k a ' m e ~ k a y e |
yeeyanato	 y e e y a n a t o |
ihimededo,	 i h i m e d e d o , |
ya'udukome'na	 y a ' u d u k o m e ' n a |
pitineenaha	 p i t i n e e n a h a |
boladole	 b o l a d o l e |
~sooka	 ~ s o o k a |
tidoanaha	 t i d o a n a h a |
opede	 o p e d e |
ti()	 t i ( ) |
~pa'lepU,	 ~ p a ' l e p U , |
boedapokali	 b o e d a p o k a l i |
boedapo,	 b o e d a p o , |
~pe'a	 ~ p e ' a |
~yamika	 ~ y a m i k a |
me'na,	 m e ' n a , |
bisimaa	 b i s i m a a |
wa'aye,	 w a ' a y e , |
gU!	 g U ! |
butiawa'ali	 b u t i a w a ' a l i |
ihidi.	 i h i d i . |
panopUle	 p a n o p U l e |
maawie,	 m a a w i e , |
maali~kee,	 m a a l i ~ k e e , |
yU'da	 y U ' d a |
ya'udukuli	 y a ' u d u k u l i |
miadonanaha,	 m i a d o n a n a h a , |
~so'oka'ali	 ~ s o ' o k a ' a l i |
pakUdoleta	 p a k U d o l e t a |
ihiedalinaha	 i h i e d a l i n a h a |
bokame'nedalinaha	 b o k a m e ' n e d a l i n a h a |
puU~gU'U,	 p u U ~ g U ' U , |
no'opuno~ga	 n o ' o p u n o ~ g a |
bokanoli,	 b o k a n o l i , |
pitikaro~ga	 p i t i k a r o ~ g a |
panopUna	 p a n o p U n a |
ihiyU'dU~ke'eti	 i h i y U ' d U ~ k e ' e t i |
thu'upUle	 t h u ' u p U l e |
pe~gU	 p e ~ g U |
nietiaye	 n i e t i a y e |
pe~gUta	 p e ~ g U t a |
ihi~gUta	 i h i ~ g U t a |
wa'arope,()	 w a ' a r o p e , ( ) |
~i'yeda'dU	 ~ i ' y e d a ' d U |
ni~gUpU	 n i ~ g U p U |
yU'U~gU	 y U ' U ~ g U |
thU'u	 t h U ' u |
khU'oli~gale	 k h U ' o l i ~ g a l e |
Laureano	 L a u r e a n o |
Fernandes,	 F e r n a n d e s , |
65	 6 5 |
Gabriel	 G a b r i e l |
Papuri.	 P a p u r i . |
Abril	 A b r i l |
Historia	 H i s t o r i a |
dos	 d o s |
Irmaos	 I r m a o s |
Maiores.	 M a i o r e s . |
~oo	 ~ o o |
(a)kaye	 ( a ) k a y e |
ka'me~koaha	 k a ' m e ~ k o a h a |
a'rikodo	 a ' r i k o d o |
kristina	 k r i s t i n a |
phioli	 p h i o l i |
sena	 s e n a |
mali,	 m a l i , |
(a)kaye,	 ( a ) k a y e , |
ba'ana	 b a ' a n a |
~ogapu:	 ~ o g a p u : |
ka'me~koa	 k a ' m e ~ k o a |
manine	 m a n i n e |
khitiya'u	 k h i t i y a ' u |
dutide	 d u t i d e |
segu:	 s e g u : |
masatuli,	 m a s a t u l i , |
~yeku:su:ma,	 ~ y e k u : s u : m a , |
~wame	 ~ w a m e |
tidire	 t i d i r e |
ya~wamene.	 y a ~ w a m e n e . |
ya'udukuta	 y a ' u d u k u t a |
yu:'u:le	 y u : ' u : l e |
Fernandes	 F e r n a n d e s |
Cordeiro	 C o r d e i r o |
wametiha	 w a m e t i h a |
wa'i~khu:	 w a ' i ~ k h u : |
posaya	 p o s a y a |
phitokhu:	 p h i t o k h u : |
sao	 s a o |
gabriel	 g a b r i e l |
rio	 r i o |
papuri	 p a p u r i |
khu:	 k h u : |
seegu:	 s e e g u : |
musale	 m u s a l e |
ya'udukuduaga.	 y a ' u d u k u d u a g a . |
batopu:le,	 b a t o p u : l e , |
po'na,	 p o ' n a , |
buhekUna,	 b u h e k U n a , |
panamena	 p a n a m e n a |
buhekUnapu:	 b u h e k U n a p u : |
thU'oati	 t h U ' o a t i |
~osa'a	 ~ o s a ' a |
gravalipUde	 g r a v a l i p U d e |
peka~sa	 p e k a ~ s a |
dekolide,	 d e k o l i d e , |
thU'othulia~ka'	 t h U ' o t h u l i a ~ k a ' |
mali~gu:,	 m a l i ~ g u : , |
~ka'me~koa	 ~ k a ' m e ~ k o a |
yeeda	 y e e d a |
timipe	 t i m i p e |
si'ninagu:	 s i ' n i n a g u : |
ni'kaputo~gata,	 n i ' k a p u t o ~ g a t a , |
musicali	 m u s i c a l i |
pe'deta	 p e ' d e t a |
thU'omahale	 t h U ' o m a h a l e |
ka'mali	 k a ' m a l i |
yee~ketibe'na	 y e e ~ k e t i b e ' n a |
maliye	 m a l i y e |
makanipu:le	 m a k a n i p u : l e |
ihina~gu:	 i h i n a ~ g u : |
kaiye	 k a i y e |
paku:ba'na	 p a k u : b a ' n a |
mania	 m a n i a |
bu:ku:thu:li	 b u : k u : t h u : l i |
~oosa	 ~ o o s a |
khiti,	 k h i t i , |
ya'uti	 y a ' u t i |
~sUo	 ~ s U o |
~nieda'timipe	 ~ n i e d a ' t i m i p e |
musa	 m u s a |
ninosa'ta	 n i n o s a ' t a |
masathuli	 m a s a t h u l i |
maliyeeku:su:mu:a	 m a l i y e e k u : s u : m u : a |
~wametidire,	 ~ w a m e t i d i r e , |
yu:'U:	 y u : ' U : |
besewedo	 b e s e w e d o |
~wameyedire	 ~ w a m e y e d i r e |
mu:sane	 m u : s a n e |
mu:tu:tha	 m u : t u : t h a |
apedopu:,	 a p e d o p u : , |
apedo	 a p e d o |
ihiato~gu:	 i h i a t o ~ g u : |
masakuduli	 m a s a k u d u l i |
basediwame	 b a s e d i w a m e |
~wameyeede	 ~ w a m e y e e d e |
phu:todole	 p h u : t o d o l e |
keou:tha	 k e o u : t h a |
ke'noanotali	 k e ' n o a n o t a l i |
thu:'othuna	 t h u : ' o t h u n a |
da'potokhu:no	 d a ' p o t o k h u : n o |
~wametiye	 ~ w a m e t i y e |
~so'alia	 ~ s o ' a l i a |
~kenei	 ~ k e n e i |
ba'u:dota	 b a ' u : d o t a |
ihiatha	 i h i a t h a |
miniapo'na	 m i n i a p o ' n a |
busanau:no	 b u s a n a u : n o |
kuduli	 k u d u l i |
keodihuna	 k e o d i h u n a |
ba'u:rotha	 b a ' u : r o t h a |
basawetaro	 b a s a w e t a r o |
~wameta	 ~ w a m e t a |
ihiato'	 i h i a t o ' |
ba'u:do	 b a ' u : d o |
wa'ikhu:	 w a ' i k h u : |
wa'ikhu:po'u,	 w a ' i k h u : p o ' u , |
wai'khu:po'u	 w a i ' k h u : p o ' u |
~ya'ali	 ~ y a ' a l i |
pe'edo	 p e ' e d o |
basedi	 b a s e d i |
~wamediita	 ~ w a m e d i i t a |
ihiatha,	 i h i a t h a , |
diami	 d i a m i |
manu	 m a n u |
kanuburu	 k a n u b u r u |
ihitha	 i h i t h a |
bu:ku:da	 b u : k u : d a |
ba'u:tia	 b a ' u : t i a |
~yekathudule	 ~ y e k a t h u d u l e |
topeku:na	 t o p e k u : n a |
pu:toa	 p u : t o a |
pho'ne	 p h o ' n e |
wamisu:mu:a	 w a m i s u : m u : a |
nu:kakido	 n u : k a k i d o |
panamena,	 p a n a m e n a , |
ihi~ka'ye	 i h i ~ k a ' y e |
wa'manopu:le	 w a ' m a n o p u : l e |
tiku:na	 t i k u : n a |
ku'thulipu:le	 k u ' t h u l i p u : l e |
ehedi	 e h e d i |
wu:'u:sepu:	 w u : ' u : s e p u : |
neewi'i	 n e e w i ' i |
du:kali	 d u : k a l i |
putidina	 p u t i d i n a |
ihiaha	 i h i a h a |
tikudua	 t i k u d u a |
~yekatudu	 ~ y e k a t u d u |
kudua,	 k u d u a , |
malinetha	 m a l i n e t h a |
niku:maku:	 n i k u : m a k u : |
bokali	 b o k a l i |
~oose	 ~ o o s e |
maka,	 m a k a , |
apemuka	 a p e m u k a |
phitiado	 p h i t i a d o |
ihiagaha,	 i h i a g a h a , |
masiboa	 m a s i b o a |
topunotha	 t o p u n o t h a |
ihide,	 i h i d e , |
phitiado.	 p h i t i a d o . |
ke'omadihiagu:	 k e ' o m a d i h i a g u : |
~nikamoka	 ~ n i k a m o k a |
~u:mu:a	 ~ u : m u : a |
~wamedita	 ~ w a m e d i t a |
wu:po	 w u : p o |
thoathato	 t h o a t h a t o |
apekhu:dua	 a p e k h u : d u a |
~ku:no	 ~ k u : n o |
makaka	 m a k a k a |
malipu:lenaha,	 m a l i p u : l e n a h a , |
su'lia	 s u ' l i a |
mali~gu:	 m a l i ~ g u : |
khu:o~katha	 k h u : o ~ k a t h a |
~wametiaga,	 ~ w a m e t i a g a , |
~yamakulido	 ~ y a m a k u l i d o |
~wametiaga	 ~ w a m e t i a g a |
ba'u:ke'ode	 b a ' u : k e ' o d e |
ke'oletha	 k e ' o l e t h a |
maline,	 m a l i n e , |
ku:'oaga	 k u : ' o a g a |
wehetada	 w e h e t a d a |
buheipanami	 b u h e i p a n a m i |
apekudua	 a p e k u d u a |
deko~kakudua	 d e k o ~ k a k u d u a |
khana	 k h a n a |
diana	 d i a n a |
~wa'misu:mu:a	 ~ w a ' m i s u : m u : a |
yeero	 y e e r o |
sa'ta	 s a ' t a |
~wametia	 ~ w a m e t i a |
miadopu:lenaha	 m i a d o p u : l e n a h a |
~o'osaanaha	 ~ o ' o s a a n a h a |
niisulia~gu:pu:le	 n i i s u l i a ~ g u : p u : l e |
wa'aeda~khuno,	 w a ' a e d a ~ k h u n o , |
buhei	 b u h e i |
~nikhu:	 ~ n i k h u : |
nikakudua~ga	 n i k a k u d u a ~ g a |
kuduata	 k u d u a t a |
nikhu:	 n i k h u : |
ku:odekeoli	 k u : o d e k e o l i |
wa'ikhu:ba'dotha	 w a ' i k h u : b a ' d o t h a |
yepupenaha	 y e p u p e n a h a |
paulo	 p a u l o |
~khuno	 ~ k h u n o |
taa	 t a a |
bo'dotatha	 b o ' d o t a t h a |
~yaalibo'do	 ~ y a a l i b o ' d o |
ihidenaha	 i h i d e n a h a |
yuku:du:kaya	 y u k u : d u : k a y a |
pitokhu:no	 p i t o k h u : n o |
Garcia~gu:	 G a r c i a ~ g u : |
ba'u:do,	 b a ' u : d o , |
~yali	 ~ y a l i |
ba'u:dotha	 b a ' u : d o t h a |
bodotatha,	 b o d o t a t h a , |
tidotha	 t i d o t h a |
kuduapu:	 k u d u a p u : |
keomadiutha	 k e o m a d i u t h a |
yu:'u:thaha	 y u : ' u : t h a h a |
~wa'misu:mu:ale	 ~ w a ' m i s u : m u : a l e |
tusabeigu:	 t u s a b e i g u : |
maliakuduapu:	 m a l i a k u d u a p u : |
~ye	 ~ y e |
maadia	 m a a d i a |
no'a	 n o ' a |
ihidenaha,	 i h i d e n a h a , |
timi~so'alia,	 t i m i ~ s o ' a l i a , |
Elianaha	 E l i a n a h a |
khu:'o	 k h u : ' o |
dekediolitha	 d e k e d i o l i t h a |
tido~gu:tha	 t i d o ~ g u : t h a |
ba'na	 b a ' n a |
tiku:do~gu:	 t i k u : d o ~ g u : |
ku:'oli	 k u : ' o l i |
tiku:do	 t i k u : d o |
ka'nabudu	 k a ' n a b u d u |
ta,	 t a , |
himameedenaha	 h i m a m e e d e n a h a |
a'liku:na	 a ' l i k u : n a |
dudu~gu:	 d u d u ~ g u : |
~wa'male	 ~ w a ' m a l e |
bu:ku:dabo'do	 b u : k u : d a b o ' d o |
dokedu:ka	 d o k e d u : k a |
abe	 a b e |
manu,	 m a n u , |
manupu:leta	 m a n u p u : l e t a |
keodukali	 k e o d u k a l i |
mu:nano	 m u : n a n o |
bu:ku:do	 b u : k u : d o |
jose	 j o s e |
(juse)mu:nanonaha	 ( j u s e ) m u : n a n o n a h a |
u:huastu	 u : h u a s t u |
Brasi~gu:	 B r a s i ~ g u : |
bu:kasido	 b u : k a s i d o |
~yoa	 ~ y o a |
~keekhu:na	 ~ k e e k h u : n a |
apeina	 a p e i n a |
makanapu:a	 m a k a n a p u : a |
masiduedu:tihi	 m a s i d u e d u : t i h i |
masino	 m a s i n o |
saniaha	 s a n i a h a |
yu:'u:hu:	 y u : ' u : h u : |
butiato	 b u t i a t o |
u:hastu	 u : h a s t u |
bu:ku:danaha	 b u : k u : d a n a h a |
ihidehe	 i h i d e h e |
Lacerda~gu:	 L a c e r d a ~ g u : |
kuiubipe	 k u i u b i p e |
khu:dua	 k h u : d u a |
pu:ta	 p u : t a |
dekeolenaha	 d e k e o l e n a h a |
nitia	 n i t i a |
pho'nau:no	 p h o ' n a u : n o |
masamino	 m a s a m i n o |
~khu:	 ~ k h u : |
niku:po'na	 n i k u : p o ' n a |
khu:'odekeoli	 k h u : ' o d e k e o l i |
besutarole	 b e s u t a r o l e |
kome	 k o m e |
besutado	 b e s u t a d o |
wehetado	 w e h e t a d o |
pho'nu:no	 p h o ' n u : n o |
ku:oya	 k u : o y a |
niku:	 n i k u : |
ku:oli	 k u : o l i |
panamino	 p a n a m i n o |
~yeku:,	 ~ y e k u : , |
~yapau:nole	 ~ y a p a u : n o l e |
~yapaa	 ~ y a p a a |
sia	 s i a |
~so'ole	 ~ s o ' o l e |
~o'odoka	 ~ o ' o d o k a |
nikayuhudo~ga	 n i k a y u h u d o ~ g a |
panopu:le	 p a n o p u : l e |
yitie	 y i t i e |
tiaye,	 t i a y e , |
~o'o~pulipede	 ~ o ' o ~ p u l i p e d e |
yitiedale	 y i t i e d a l e |
yepupe	 y e p u p e |
pu'edole	 p u ' e d o l e |
pu'edo	 p u ' e d o |
ku:o	 k u : o |
mi~nieda~gu:	 m i ~ n i e d a ~ g u : |
'~kee	 ' ~ k e e |
maha'	 m a h a ' |
~u:sale	 ~ u : s a l e |
niitha,	 n i i t h a , |
yu:ku:pinopu:le	 y u : k u : p i n o p u : l e |
